"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00140W44C","大封门森林公园","风景名胜;公园广场;公园","110101","tour","派潭镇白水寨大道28号","113.781953","23.583050","113.77676062089628","23.585656390823207","[]","广东省","广州市","增城区"
"B0FFGM1UMY","石马龙湿地公园","风景名胜;公园广场;公园","110101","tour","白水寨大道石马龙水库","113.761442","23.575063","113.75622008749981","23.57765273246317","[]","广东省","广州市","增城区"
"B0FFGYKZ8R","增城地质公园","风景名胜;公园广场;公园","110101","tour","[]","113.806961","23.586206","113.8018237570856","23.588849005479556","[]","广东省","广州市","增城区"
"B0HKJ51CLC","和平广场","风景名胜;公园广场;城市广场","110105","tour","仙泉中路3号大丰门景区(北侧)","113.820309","23.589449","113.81520640155613","23.5921163735461","020-82820023","广东省","广州市","增城区"
"B00140V531","青云公园","风景名胜;公园广场;公园","110101","tour","街口街青云路95号","113.583166","23.544596","113.57805204255034","23.547363858011636","[]","广东省","广州市","从化区"
"B00141KB0B","七星体育公园","风景名胜;公园广场;公园","110101","tour","江埔街七星路83号","113.602376","23.536443","113.5972748048206","23.539215009848835","[]","广东省","广州市","从化区"
"B0FFF2IO5P","东洞村文化公园","风景名胜;公园广场;公园","110101","tour","东洞路与东洞南路交叉口东80米","113.793122","23.549885","113.78795447624421","23.552504078551745","[]","广东省","广州市","增城区"
"B001401213","河滨公园","风景名胜;公园广场;公园","110101","tour","河滨北路68号","113.592116","23.548037","113.58700966352954","23.550808996603703","[]","广东省","广州市","从化区"
"B0FFF3UME2","新城广场","风景名胜;公园广场;城市广场","110105","tour","广场路","113.585887","23.539959","113.58077614080042","23.542728378395697","[]","广东省","广州市","从化区"
"B00140UF02","增城广场","风景名胜;公园广场;城市广场","110105","tour","荔城街增城大道8号(增城广场地铁站E口步行280米)","113.817563","23.279552","113.81247368440434","23.282249570411405","[]","广东省","广州市","增城区"
"B0FFK8BOAA","森林广场","风景名胜;公园广场;城市广场","110105","tour","温泉镇温泉桃莲村大岭山林场管理处石门国家森林公园石灶景区内","113.821949","23.621876","113.8168486458086","23.62454970551894","020-87850738","广东省","广州市","从化区"
"B00141JBZX","派潭广场","风景名胜;公园广场;城市广场","110105","tour","榕林路108号","113.784169","23.489499","113.77898709790185","23.49210681830777","13500220883","广东省","广州市","增城区"
"B0H3TSF4T7","蕨类植物专类园","风景名胜;公园广场;植物园","110103","tour","温泉镇石门国家森林公园森林树木科普园","113.774229","23.632276","113.76902008570738","23.634879701358905","[]","广东省","广州市","从化区"
"B0IRVSR9J1","中桥公园","风景名胜;公园广场;公园","110101","tour","榕林路98号","113.790332","23.485255","113.78516281493441","23.487870931022062","[]","广东省","广州市","增城区"
"B0HGN9P30C","南平村凤凰广场","风景名胜;公园广场;城市广场","110105","tour","石坑街与南平刘屋里交叉口东北460米","113.717495","23.548597","113.7122681335714","23.551202809244177","[]","广东省","广州市","从化区"
"B0FFKXF9L7","邓村石屋森林公园","风景名胜;公园广场;公园","110101","tour","布头路上一巷","113.818410","23.474520","113.81330999213142","23.47718307092338","[]","广东省","广州市","增城区"
"B00140UEVL","增城东湖公园","风景名胜;公园广场;公园","110101","tour","东桥东路26号","113.851127","23.284715","113.84612662635593","23.28747289184785","[]","广东省","广州市","增城区"
"B0FFLC8B7I","尹屋公园","风景名胜;公园广场;公园","110101","tour","高步路与二社沙一巷交叉口东南380米","113.826969","23.463090","113.82189282931274","23.465770012480604","[]","广东省","广州市","增城区"
"B0FFJRS0RL","流溪河从都湿地公园","风景名胜;公园广场;公园","110101","tour","米埗大桥","113.684398","23.682044","113.67920044407104","23.68471640958761","[]","广东省","广州市","从化区"
"B0FFK4A0ZD","从化山顶公园","风景名胜;公园广场;公园","110101","tour","温泉镇景业荔都花园一街21号正北方向160米","113.642802","23.607175","113.63767157056256","23.60991229829297","[]","广东省","广州市","从化区"
"B00140UO0R","王子山森林公园(暂停开放)","风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜","110101|110200","tour","芙蓉旅游度假区","113.216762","23.568155","113.21139036495026","23.57072598963223","[]","广东省","广州市","花都区"
"B00140UEU6","花都广场","风景名胜;公园广场;城市广场","110105","tour","公益路22号(花都广场地铁站A口步行280米)","113.219875","23.401172","113.21451810243542","23.403755358147556","[]","广东省","广州市","花都区"
"B00140UFDR","天坛公园","风景名胜;公园广场;公园","110101","tour","芙蓉度假区","113.225999","23.512585","113.22064021542171","23.515164416345357","[]","广东省","广州市","花都区"
"B0014243GX","广东花都湖国家湿地公园","风景名胜;公园广场;公园","110101","tour","新华路104号","113.231269","23.376860","113.22592326351811","23.37945762070414","020-86817415","广东省","广州市","花都区"
"B00140V0ET","新世纪广场","风景名胜;公园广场;城市广场","110105","tour","秀全大道41-20附近(花城路地铁站D口步行120米)","113.211297","23.380076","113.20593152560761","23.382652676477907","[]","广东省","广州市","花都区"
"B0FFH124T6","红山村油菜花-铜鼓鼎公园","风景名胜;公园广场;公园","110101","tour","梯面镇红山村","113.281504","23.576593","113.27612727987844","23.579165956329668","[]","广东省","广州市","花都区"
"B00140W3SH","太和文化广场","风景名胜;公园广场;城市广场","110105","tour","太和镇太和北路","113.354802","23.295304","113.34930866618934","23.297783632027905","[]","广东省","广州市","白云区"
"B00140S9QY","花都人民公园","风景名胜;公园广场;公园","110101","tour","紫薇路23号","113.220361","23.408070","113.21500413190702","23.410652811455037","[]","广东省","广州市","花都区"
"B00140AQ80","花果山公园","风景名胜;公园广场;公园","110101","tour","宝华路35号(花果山公园地铁站C口步行270米)","113.219076","23.389285","113.21371907399437","23.3918694597305","[]","广东省","广州市","花都区"
"B00140UERP","马鞍山公园","风景名胜;公园广场;公园","110101","tour","新华镇凤凰北路23-26号","113.237115","23.395094","113.23177106664929","23.397691810750846","[]","广东省","广州市","花都区"
"B00140UFDP","芙蓉峰公园","风景名胜;公园广场;公园","110101","tour","芙蓉度假区","113.225387","23.520585","113.22002716049937","23.523163776692552","020-86853860","广东省","广州市","花都区"
"B00140UFC2","芙蓉水上世界公园","风景名胜;公园广场;公园","110101","tour","狮岭镇芙滨路欣园酒店","113.235656","23.513142","113.23030341423659","23.515728189374062","[]","广东省","广州市","花都区"
"B0GUNOK6T1","温湖休闲公园","风景名胜;公园广场;公园","110101","tour","观湖路芙蓉旅游度假区内","113.226748","23.519847","113.22138932692991","23.522426963843863","[]","广东省","广州市","花都区"
"B00140UFHH","盘古王公园","风景名胜;公园广场;公园","110101","tour","狮岭镇振兴村盘古北路","113.155997","23.483681","113.15052900901411","23.486148728918135","020-86846134","广东省","广州市","花都区"
"B00140UFJV","大岭森林公园","风景名胜;公园广场;公园","110101","tour","大岭南路","113.200471","23.350331","113.19509198028871","23.35289784903626","[]","广东省","广州市","白云区"
"B00140U84W","秀全公园","风景名胜;公园广场;公园","110101","tour","新华路56号","113.214911","23.373157","113.20955048616338","23.3757395713472","[]","广东省","广州市","花都区"
"B00140JBMU","电视塔公园","风景名胜;公园广场;公园","110101","tour","体育路30号","113.218058","23.384837","113.21270028212639","23.38742110814776","[]","广东省","广州市","花都区"
"B00141JURB","狮山公园","风景名胜;公园广场;公园","110101","tour","雄狮中路与振兴路交叉口","113.159067","23.458374","113.15360619477391","23.46084909109707","[]","广东省","广州市","花都区"
"B00140UDZ7","南村公园","风景名胜;公园广场;公园","110101","tour","南村中路(近龙归华侨医院)","113.300002","23.282950","113.29461672322303","23.2855324327674","[]","广东省","广州市","白云区"
"B0FFG1YVN8","龙穴街文化广场","风景名胜;公园广场;城市广场","110105","tour","龙穴路4号附近","113.644796","22.686420","113.6397236421705","22.689410403106255","[]","广东省","广州市","南沙区"
"B00140UFWZ","百万葵园","风景名胜;公园广场;公园","110101","tour","万顷沙新垦十五涌","113.620101","22.628186","113.61505586994001","22.631220638108626","020-83309917;020-84956863;020-84956360","广东省","广州市","南沙区"
"B00140UFT6","南沙滨海公园(建设中)","风景名胜;公园广场;公园","110101","tour","海滨路(近天后宫)","113.617115","22.746871","113.6120636827489","22.749879330097404","[]","广东省","广州市","南沙区"
"B0FFLHKNV3","南沙滨海绿道湿地公园","风景名胜;公园广场;公园","110101","tour","新港大道与红钢路交叉路口往东约80米","113.629105","22.626811","113.62405357526018","22.62983631820934","[]","广东省","广州市","南沙区"
"B00141PT5B","文体公园","风景名胜;公园广场;公园","110101","tour","康华路与红海新街交叉口东80米","113.608685","22.646257","113.60364238311884","22.649296135495394","[]","广东省","广州市","南沙区"
"B00141J5T4","蕉门公园","风景名胜;公园广场;公园","110101","tour","海滨路","113.526499","22.789297","113.52130510520689","22.792192263879638","[]","广东省","广州市","南沙区"
"B00141K61W","沙尾一公园","风景名胜;公园广场;公园","110101","tour","万顷沙镇粤海大道九涌段21号附近","113.572621","22.674298","113.56755006513558","22.67731951676711","[]","广东省","广州市","南沙区"
"B0I21UP6MB","望海口袋公园(建设中)","风景名胜;公园广场;公园","110101","tour","南沙客运港地铁D出口处(南沙客运港地铁站D口旁)","113.609152","22.765751","113.60410163178274","22.76875852251373","[]","广东省","广州市","南沙区"
"B00140W484","十八涌","风景名胜;公园广场;公园","110101","tour","298县道","113.627715","22.613990","113.62266556810029","22.61701910426747","[]","广东省","广州市","南沙区"
"B0FFKECDC9","南沙天后宫-天后广场","风景名胜;公园广场;城市广场","110105","tour","天后路88号南沙天后宫内","113.620854","22.757002","113.61580013898394","22.76000395988513","020-84981223","广东省","广州市","南沙区"
