"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00141K8SG","停车场(豪龙路)","交通设施服务;停车场;公共停车场","150904","[]","十八罗汉山森林公园","113.407214","22.788424","113.40171350452383","22.791058040149228","[]","广东省","广州市","南沙区"
"B0FFH1ZNCW","翡翠蓝湾停车场","交通设施服务;停车场;公共停车场","150904","[]","灵山高沙路翡翠蓝湾东门","113.421810","22.802659","113.41631908327055","22.805296141846927","[]","广东省","广州市","南沙区"
"B0IUG56RSJ","开利工业园地面停车场","交通设施服务;停车场;公共停车场","150904","[]","111省道与N32乡道交叉口东60米","113.428076","22.800996","113.42259298411147","22.803640110978094","[]","广东省","广州市","南沙区"
"B0FFG8WZJR","合成停车场","交通设施服务;停车场;公共停车场","150904","[]","新村街2号广州市合成电子制品有限公司","113.428331","22.811249","113.42284764782275","22.813889770074606","[]","广东省","广州市","南沙区"
"B0IGCRHFS4","服务区停车场","交通设施服务;停车场;公共停车场","150904","[]","服务区与S73南沙港快速交叉口西340米","113.459754","22.767827","113.45434016612676","22.770539328924833","[]","广东省","广州市","南沙区"
"B0FFGCDYZY","停车场(长堤东路)","交通设施服务;停车场;公共停车场","150904","[]","长堤东路与江滘路交叉口西北100米","113.423831","22.810999","113.41834181827288","22.813635047119973","[]","广东省","广州市","南沙区"
"B0IGCRHFRY","服务区停车","交通设施服务;停车场;公共停车场","150904","[]","服务区与S73南沙港快速交叉口西北260米","113.461373","22.768591","113.45596361776565","22.77130696181185","[]","广东省","广州市","南沙区"
"B0IUCHVNTB","中国石化广州江灵加油站地面停车场","交通设施服务;停车场;公共停车场","150904","[]","灵山镇庙贝路(S358省道)中国石化江灵加油站","113.429970","22.799572","113.4244898137202","22.802218880627485","[]","广东省","广州市","南沙区"
"B0FFG7H5DX","潭州服务区停车场","交通设施服务;停车场;公共停车场","150904","[]","S319(东新高速公路)","113.400683","22.759317","113.39518319538139","22.761960104121012","[]","广东省","广州市","南沙区"
"B0FFG7BR7S","潭州服务区停车场","交通设施服务;停车场;公共停车场","150904","[]","S39东新高速附近","113.400982","22.757076","113.395482360077","22.759719791931293","[]","广东省","广州市","南沙区"
"B00141J3X7","停车场","交通设施服务;停车场;公共停车场","150904","[]","壕头角路与黄阁西路交叉口东北40米","113.489346","22.822040","113.48402197700906","22.82481424073058","[]","广东省","广州市","南沙区"
"B0FFHVWFDF","停车场","交通设施服务;停车场;公共停车场","150904","[]","广珠路529号之2附近","113.485552","22.778966","113.48021786521511","22.78174412840505","[]","广东省","广州市","南沙区"
"B0H2AS5T42","灵城大厦停车场","交通设施服务;停车场;公共停车场","150904","[]","环城东路灵城大厦","113.417937","22.807100","113.41244194392603","22.809732501805378","[]","广东省","广州市","南沙区"
"B0H1LUGTM0","灵山医院停车场","交通设施服务;停车场;公共停车场","150904","[]","江滘路与环城东路交叉口北180米","113.418791","22.808559","113.41329662693818","22.811191600924204","[]","广东省","广州市","南沙区"
"B0H0CHVKCV","广州市大岗园林宾馆停车场","交通设施服务;停车场;公共停车场","150904","[]","大岗镇体育路12号广州市大岗园林宾馆","113.412347","22.800816","113.40684815546125","22.803447484782282","[]","广东省","广州市","南沙区"
"B0FFK114G5","十八罗汉山森林公园临时停车场","交通设施服务;停车场;公共停车场","150904","[]","Y925(十八罗汉山森林公园)十八罗汉山森林公园","113.402294","22.794013","113.39679196652315","22.79664456871751","[]","广东省","广州市","南沙区"
"B0FFLKR1EZ","兴莎会所停车场","交通设施服务;停车场;公共停车场","150904","[]","工业路与万安南大街交叉口东20米","113.407619","22.804213","113.40211758297865","22.806841651951324","18898406981","广东省","广州市","南沙区"
"B0HBKZOLQM","达森购物广场停车场","交通设施服务;停车场;公共停车场","150904","[]","大岗镇兴业路31号达森广场F1","113.406101","22.803144","113.4005991398031","22.805772716315392","[]","广东省","广州市","南沙区"
"B0H2JUVIFQ","灵山大型货运停车场","交通设施服务;停车场;公共停车场","150904","[]","大岗镇灵山环城东路36号之五","113.414113","22.810949","113.40861463044921","22.81357776168578","13928835268","广东省","广州市","南沙区"
"B0GKCCTOE2","阳光城市广场停车场","交通设施服务;停车场;公共停车场","150904","[]","兴业路与北流路交叉口东60米","113.400304","22.794880","113.39480177608222","22.79751134844978","[]","广东省","广州市","南沙区"
"B00141IG8C","停车场(新地路)","交通设施服务;停车场;公共停车场","150904","[]","新地路与广场路交叉口南40米","113.342430","22.839763","113.33699050559919","22.842442593559685","[]","广东省","广州市","南沙区"
"B0FFKCMY3V","长江数码花园停车场","交通设施服务;停车场;公共停车场","150904","[]","广州农商银行(广场分理处)附近","113.344154","22.831948","113.33871169618287","22.83462739407402","[]","广东省","广州市","南沙区"
"B0IROA02HG","地面停车场","交通设施服务;停车场;公共停车场","150904","[]","蔡新路与康源街交叉口东80米","113.348159","22.830848","113.3427092000977","22.83352067268911","[]","广东省","广州市","南沙区"
"B0H0KUPYYN","榄核市场停车场","交通设施服务;停车场;公共停车场","150904","[]","广场路与兴顺三街交叉口东北80米","113.343603","22.835749","113.3381615016143","22.838427969382547","[]","广东省","广州市","南沙区"
"B0H1CS3X6U","榄核医院停车场","交通设施服务;停车场;公共停车场","150904","[]","校尾路与上街交叉口西220米","113.336852","22.839925","113.33142354208233","22.842614884506254","[]","广东省","广州市","南沙区"
"B0H0J5YAWB","停车场","交通设施服务;停车场;公共停车场","150904","[]","工业街与广场东路交叉口东100米","113.346027","22.839543","113.34058061065635","22.842216178518868","[]","广东省","广州市","南沙区"
"B0I62AG3YN","广州合辉大酒店地面停车场","交通设施服务;停车场;公共停车场","150904","[]","康源街与镇南路交叉口南20米","113.347550","22.837567","113.3421008805331","22.840238225523944","[]","广东省","广州市","南沙区"
"B0I1MSADH5","地面停车场","交通设施服务;停车场;公共停车场","150904","[]","新涌街与榄新街交叉口西480米","113.319069","22.833283","113.31367731515101","22.83600915116396","[]","广东省","广州市","南沙区"
"B0I3VUC6UJ","香云纱文化创意园地面停车场","交通设施服务;停车场;公共停车场","150904","[]","榄核镇利丰街香云纱文化创意园","113.342018","22.849982","113.3365786204342","22.852658450878163","[]","广东省","广州市","南沙区"
"B0IDX704V9","地面停车场","交通设施服务;停车场;公共停车场","150904","[]","星海大道与G1508广州绕城高速入口交叉口南160米","113.348186","22.858207","113.34273430413442","22.860869200514784","[]","广东省","广州市","南沙区"
"B0I1MD9BFI","地面停车场","交通设施服务;停车场;公共停车场","150904","[]","星海路南侧","113.321831","22.861885","113.31643176548356","22.864594990538023","[]","广东省","广州市","南沙区"
"B0FFGL1F7X","停车场(福冠路)","交通设施服务;停车场;公共停车场","150904","[]","福冠路与青萝路交叉口北60米","113.337103","22.913332","113.33166909144914","22.91599216772909","[]","广东省","广州市","番禺区"
"B0HKYR0WEP","波记海鲜酒家停车场","交通设施服务;停车场;公共停车场","150904","[]","东福二街与青萝路交叉口西北20米","113.338242","22.913167","113.332805821054","22.91582510254523","[]","广东省","广州市","番禺区"
"B00141IE4K","乐宜居酒家停车场","交通设施服务;停车场;公共停车场","150904","[]","岗心路与青萝路交叉口北40米","113.343533","22.913288","113.33808640457788","22.915936295113816","[]","广东省","广州市","番禺区"
"B0FFGL2EQO","顺福大型停车场","交通设施服务;停车场;公共停车场","150904","[]","旧沙渡街与青萝路交叉口西北80米","113.341843","22.913663","113.33639966568714","22.916314224540198","[]","广东省","广州市","番禺区"
"B00141IG8D","沙湾古镇南停车场","交通设施服务;停车场;公共停车场","150904","[]","沙湾街","113.336542","22.901392","113.33111002501184","22.904058152687984","[]","广东省","广州市","番禺区"
"B0FFGL0PWR","沙湾古镇东停车场","交通设施服务;停车场;公共停车场","150904","[]","沙湾大道北","113.340690","22.909443","113.33524921449437","22.912098096798303","020-34838006","广东省","广州市","番禺区"
"B0H307B7TD","沙湾镇青萝市场停车场","交通设施服务;停车场;公共停车场","150904","[]","沙湾镇青萝市场","113.338727","22.909535","113.3332900985834","22.9121937024955","[]","广东省","广州市","番禺区"
"B0FFGLMWEL","沙湾古镇东2号停车场","交通设施服务;停车场;公共停车场","150904","[]","沙湾大道北","113.341831","22.909043","113.33638800124167","22.911696161503997","[]","广东省","广州市","番禺区"
"B0G2JUJJR4","金蚝城酒楼停车场","交通设施服务;停车场;公共停车场","150904","[]","青萝路与岗心路交汇处","113.342741","22.912687","113.33729598044154","22.91533698632737","[]","广东省","广州市","番禺区"
"B0FFGL0VZM","停车场(经述路)","交通设施服务;停车场;公共停车场","150904","[]","经述路2号之2附近","113.336926","22.906501","113.33149290796885","22.909164327798482","[]","广东省","广州市","番禺区"
"B0FFGL0WE3","联峰美食停车场","交通设施服务;停车场;公共停车场","150904","[]","沙湾镇岗心路(八排五号)联峰美食羊庄","113.345129","22.915263","113.33967920529096","22.917907592550677","[]","广东省","广州市","番禺区"
"B0FFGKUYMD","停车场(经述路)","交通设施服务;停车场;公共停车场","150904","[]","经述路1号之101附近","113.336916","22.905626","113.33148298709551","22.90828970749018","[]","广东省","广州市","番禺区"
"B0H0MUKJZM","沙湾古镇东停车场","交通设施服务;停车场;公共停车场","150904","[]","经述路沙湾镇青萝市场","113.340351","22.909359","113.33491088885486","22.912014758249615","[]","广东省","广州市","番禺区"
"B0FFLNVTAC","清远第一鱼停车场","交通设施服务;停车场;公共停车场","150904","[]","广州市番禺区沙湾镇岗心路35号102、103、104","113.342247","22.911327","113.33680303432496","22.91397845331744","[]","广东省","广州市","番禺区"
"B0G07B02SV","沙湾古镇东1号停车场","交通设施服务;停车场;公共停车场","150904","[]","沙湾大道与经述路交叉口南40米","113.340706","22.909536","113.33526517668781","22.912191028765182","020-34838006","广东省","广州市","番禺区"
"B0FFGD4EMD","山顶停车场","交通设施服务;停车场;公共停车场","150904","[]","沙坑北街圣堡隆酒店","113.346176","22.915305","113.3407242128942","22.917947702859156","[]","广东省","广州市","番禺区"
"B0FFGL0S1E","停车场(朱涌大街)","交通设施服务;停车场;公共停车场","150904","[]","朱涌大街沙湾古镇","113.340388","22.905318","113.33494808864137","22.907975358566315","[]","广东省","广州市","番禺区"
"B0FFK7P8VC","沙湾镇景南工业园停车场","交通设施服务;停车场;公共停车场","150904","[]","福冠路沙湾镇景南工业园","113.335894","22.917041","113.3304622757497","22.919701900061547","[]","广东省","广州市","番禺区"
"B0FFGL2BJ2","停车场(福北路)","交通设施服务;停车场;公共停车场","150904","[]","福北路一横街与福北路交叉口东北80米","113.329970","22.907161","113.32455101126195","22.909837247937663","[]","广东省","广州市","番禺区"
